"code","name","type","buy_price","supplier_id:id"
001,"Lux Weave 638",fabric,691,4
002,"Eco Loom 525",fabric,689,3
003,"Ultra Tex 652",jeans,606,5
004,"Royal Silk 173",jeans,265,3
005,"Prime Blend 818",cotton,370,5
006,"Lux Weave 467",fabric,938,4
007,"Duratex Weave 927",jeans,588,3
008,"Lux Denim 203",cotton,180,3
009,"Lux Weave 854",cotton,188,2
010,"Elite Cotton 791",fabric,782,3
011,"Elite Blend 327",jeans,129,4
012,"Eco Tex 844",jeans,909,3
013,"Pure Silk 444",jeans,699,4
014,"Elite Touch 243",fabric,385,2
015,"Duratex Tex 661",jeans,829,2
016,"Lux Silk 532",jeans,713,4
017,"Elite Weave 926",fabric,857,5
018,"Pure Blend 110",fabric,214,4
019,"Pure Denim 813",jeans,772,3
020,"Duratex Craft 407",jeans,307,1
021,"Elite Denim 754",jeans,934,2
022,"Ultra Tex 753",cotton,535,2
023,"Velvet Fiber 112",cotton,521,3
024,"Ultra Cotton 616",jeans,722,1
025,"Elite Blend 175",cotton,735,3
026,"Pure Fiber 260",cotton,228,4
027,"Duratex Blend 939",cotton,438,4
028,"Duratex Cotton 704",fabric,291,1
029,"Royal Loom 321",cotton,538,2
030,"Ultra Loom 714",jeans,456,5
031,"Pure Blend 579",cotton,498,5
032,"Royal Tex 823",cotton,495,4
033,"Velvet Touch 124",jeans,541,5
034,"Velvet Fiber 618",jeans,186,1
035,"Prime Loom 569",fabric,707,1
036,"Duratex Fiber 104",jeans,445,4
037,"Ultra Craft 245",jeans,141,2
038,"Prime Fiber 681",jeans,884,3
039,"Prime Blend 530",fabric,606,4
040,"Lux Denim 982",jeans,670,5
041,"Lux Loom 493",cotton,537,3
042,"Velvet Silk 673",cotton,374,5
043,"Royal Loom 956",fabric,847,3
044,"Pure Tex 899",fabric,127,5
045,"Eco Silk 677",jeans,138,4
046,"Eco Silk 741",fabric,204,4
047,"Royal Silk 680",jeans,702,5
048,"Lux Loom 322",jeans,806,1
049,"Eco Silk 973",jeans,158,4
050,"Lux Weave 548",fabric,584,4
051,"Elite Denim 840",fabric,579,3
052,"Eco Loom 226",fabric,118,2
053,"Velvet Silk 176",fabric,923,5
054,"Velvet Loom 474",jeans,806,3
055,"Prime Craft 192",cotton,188,2
056,"Duratex Blend 872",cotton,252,1
057,"Eco Craft 695",jeans,349,5
058,"Velvet Tex 828",fabric,316,4
059,"Soft Fiber 295",jeans,735,5
060,"Elite Blend 300",cotton,821,5
061,"Ultra Blend 809",fabric,764,2
062,"Soft Touch 283",jeans,545,1
063,"Velvet Fiber 393",jeans,481,5
064,"Eco Cotton 658",cotton,889,3
065,"Elite Touch 747",fabric,268,3
066,"Prime Blend 602",jeans,393,3
067,"Duratex Silk 190",fabric,722,3
068,"Duratex Fiber 432",fabric,198,5
069,"Ultra Cotton 401",jeans,371,5
070,"Lux Denim 658",fabric,470,1
071,"Elite Blend 767",jeans,293,3
072,"Lux Blend 826",fabric,863,4
073,"Ultra Craft 428",jeans,871,4
074,"Soft Tex 395",cotton,629,4
075,"Royal Cotton 865",cotton,898,4
076,"Lux Cotton 138",cotton,841,2
077,"Prime Fiber 906",fabric,176,4
078,"Pure Tex 374",fabric,733,5
079,"Lux Tex 818",fabric,967,5
080,"Eco Fiber 491",fabric,847,5
081,"Eco Fiber 747",fabric,470,4
082,"Prime Craft 607",jeans,548,2
083,"Eco Cotton 163",jeans,490,4
084,"Eco Tex 668",jeans,960,3
085,"Pure Weave 754",cotton,340,2
086,"Pure Denim 384",jeans,481,3
087,"Elite Fiber 725",cotton,875,1
088,"Elite Silk 367",fabric,419,4
089,"Pure Weave 736",fabric,200,2
090,"Lux Silk 268",cotton,704,5
091,"Royal Touch 856",jeans,955,2
092,"Prime Fiber 640",cotton,106,3
093,"Duratex Loom 161",jeans,701,1
094,"Prime Blend 242",fabric,693,2
095,"Elite Fiber 832",jeans,141,4
096,"Prime Craft 464",cotton,771,4
097,"Elite Silk 117",jeans,590,1
098,"Soft Loom 636",fabric,196,1
099,"Prime Loom 326",fabric,262,5
100,"Ultra Fiber 574",jeans,549,3
